#DeltaTime, Location Error, Velocity Error
/InverseX
1.98798e-11, 0.632197, 3.70506e+06
1.97418e-11, 0.627806, 3.67934e+06
1.96056e-11, 0.623476, 3.65397e+06
1.94713e-11, 0.619205, 3.62895e+06
1.93389e-11, 0.614993, 3.60427e+06
1.92082e-11, 0.610837, 3.57993e+06
1.90793e-11, 0.606737, 3.5559e+06
1.89521e-11, 0.602692, 3.5322e+06
1.88266e-11, 0.5987, 3.50882e+06
1.87027e-11, 0.594761, 3.48574e+06
1.85805e-11, 0.590873, 3.46296e+06
1.84598e-11, 0.587036, 3.44048e+06
1.83407e-11, 0.583248, 3.41829e+06
1.82232e-11, 0.579509, 3.39638e+06
1.81071e-11, 0.575818, 3.37476e+06
1.79925e-11, 0.572173, 3.3534e+06
1.78793e-11, 0.568574, 3.33232e+06
1.77676e-11, 0.56502, 3.31149e+06
1.76572e-11, 0.56151, 3.29093e+06
1.75482e-11, 0.558044, 3.27062e+06
1.74406e-11, 0.55462, 3.25056e+06
1.73342e-11, 0.551238, 3.23074e+06
1.72292e-11, 0.547897, 3.21117e+06
1.71254e-11, 0.544596, 3.19183e+06
1.70228e-11, 0.541335, 3.17272e+06
1.69215e-11, 0.538112, 3.15384e+06
1.68214e-11, 0.534928, 3.13518e+06
1.67224e-11, 0.531781, 3.11674e+06
1.66246e-11, 0.528671, 3.09852e+06
1.6528e-11, 0.525597, 3.08051e+06
1.64325e-11, 0.522558, 3.06271e+06
1.6338e-11, 0.519555, 3.04511e+06
1.62447e-11, 0.516586, 3.02771e+06
1.61524e-11, 0.513651, 3.01051e+06
1.60611e-11, 0.510748, 2.99351e+06
1.59709e-11, 0.507879, 2.97669e+06
1.58816e-11, 0.505041, 2.96007e+06
1.57934e-11, 0.502235, 2.94363e+06
1.57062e-11, 0.49946, 2.92737e+06
1.56199e-11, 0.496716, 2.91129e+06
1.55345e-11, 0.494001, 2.89538e+06
1.54501e-11, 0.491316, 2.87965e+06
1.53666e-11, 0.48866, 2.86409e+06
1.5284e-11, 0.486033, 2.84869e+06
1.52022e-11, 0.483433, 2.83346e+06
1.51214e-11, 0.480862, 2.81839e+06
1.50413e-11, 0.478317, 2.80348e+06
1.49622e-11, 0.4758, 2.78873e+06
1.48838e-11, 0.473308, 2.77413e+06
1.48063e-11, 0.470843, 2.75969e+06
