#DeltaTime, Location Error, Velocity Error
/InverseX
6.65765e-12, 0.211705, 1.24102e+06
6.64209e-12, 0.211211, 1.23812e+06
6.62661e-12, 0.210718, 1.23524e+06
6.6112e-12, 0.210228, 1.23237e+06
6.59586e-12, 0.209741, 1.22951e+06
6.58059e-12, 0.209255, 1.22666e+06
6.56539e-12, 0.208772, 1.22383e+06
6.55026e-12, 0.208291, 1.22101e+06
6.53521e-12, 0.207812, 1.2182e+06
6.52022e-12, 0.207335, 1.21541e+06
6.5053e-12, 0.206861, 1.21263e+06
6.49044e-12, 0.206388, 1.20986e+06
6.47566e-12, 0.205918, 1.2071e+06
6.46094e-12, 0.20545, 1.20436e+06
6.44629e-12, 0.204984, 1.20163e+06
6.43171e-12, 0.204521, 1.19891e+06
6.41719e-12, 0.204059, 1.1962e+06
6.40274e-12, 0.203599, 1.19351e+06
6.38835e-12, 0.203142, 1.19083e+06
6.37402e-12, 0.202686, 1.18816e+06
6.35976e-12, 0.202233, 1.1855e+06
6.34557e-12, 0.201781, 1.18285e+06
6.33144e-12, 0.201332, 1.18022e+06
6.31737e-12, 0.200885, 1.1776e+06
6.30336e-12, 0.200439, 1.17499e+06
6.28941e-12, 0.199996, 1.17239e+06
6.27553e-12, 0.199554, 1.1698e+06
6.26171e-12, 0.199115, 1.16722e+06
6.24794e-12, 0.198677, 1.16466e+06
6.23424e-12, 0.198241, 1.1621e+06
6.2206e-12, 0.197808, 1.15956e+06
6.20702e-12, 0.197376, 1.15703e+06
6.1935e-12, 0.196946, 1.15451e+06
6.18003e-12, 0.196517, 1.152e+06
6.16663e-12, 0.196091, 1.1495e+06
6.15328e-12, 0.195667, 1.14701e+06
6.13999e-12, 0.195244, 1.14454e+06
6.12676e-12, 0.194823, 1.14207e+06
6.11358e-12, 0.194404, 1.13961e+06
6.10046e-12, 0.193987, 1.13717e+06
6.0874e-12, 0.193572, 1.13473e+06
6.07439e-12, 0.193158, 1.13231e+06
6.06144e-12, 0.192746, 1.1299e+06
6.04854e-12, 0.192336, 1.12749e+06
6.0357e-12, 0.191928, 1.1251e+06
6.02291e-12, 0.191521, 1.12271e+06
6.01018e-12, 0.191116, 1.12034e+06
5.9975e-12, 0.190713, 1.11798e+06
5.98487e-12, 0.190311, 1.11562e+06
5.9723e-12, 0.189912, 1.11328e+06
