#DeltaTime, Location Error, Velocity Error
/InverseX
3.84164e-12, 0.122158, 716130
3.81586e-12, 0.121338, 711324
3.79042e-12, 0.120529, 706582
3.76532e-12, 0.119731, 701903
3.74055e-12, 0.118943, 697286
3.7161e-12, 0.118166, 692728
3.69197e-12, 0.117399, 688230
3.66815e-12, 0.116641, 683790
3.64463e-12, 0.115893, 679407
3.62142e-12, 0.115155, 675080
3.5985e-12, 0.114426, 670808
3.57587e-12, 0.113707, 666589
3.55352e-12, 0.112996, 662423
3.53145e-12, 0.112294, 658309
3.50965e-12, 0.111601, 654245
3.48812e-12, 0.110916, 650232
3.46685e-12, 0.11024, 646267
3.44584e-12, 0.109572, 642350
3.42508e-12, 0.108912, 638481
3.40457e-12, 0.10826, 634658
3.3843e-12, 0.107615, 630880
3.36428e-12, 0.106978, 627148
3.34449e-12, 0.106349, 623459
3.32493e-12, 0.105727, 619813
3.3056e-12, 0.105112, 616209
3.28649e-12, 0.104505, 612648
3.2676e-12, 0.103904, 609127
3.24893e-12, 0.103311, 605646
3.23047e-12, 0.102724, 602205
3.21222e-12, 0.102143, 598803
3.19417e-12, 0.101569, 595439
3.17633e-12, 0.101002, 592113
3.15868e-12, 0.100441, 588823
3.14123e-12, 0.0998858, 585570
3.12397e-12, 0.099337, 582353
3.1069e-12, 0.0987941, 579171
3.09002e-12, 0.0982572, 576023
3.07331e-12, 0.0977261, 572910
3.05679e-12, 0.0972007, 569830
3.04044e-12, 0.0966809, 566783
3.02427e-12, 0.0961666, 563768
3.00827e-12, 0.0956578, 560785
2.99244e-12, 0.0951543, 557834
2.97677e-12, 0.0946561, 554914
2.96127e-12, 0.0941631, 552023
2.94592e-12, 0.0936752, 549163
2.93074e-12, 0.0931923, 546333
2.91571e-12, 0.0927144, 543531
2.90083e-12, 0.0922414, 540758
2.88611e-12, 0.0917731, 538013
2.87153e-12, 0.0913096, 535296
2.8571e-12, 0.0908508, 532606
2.84281e-12, 0.0903965, 529943
2.82867e-12, 0.0899468, 527307
2.81467e-12, 0.0895015, 524697
2.8008e-12, 0.0890606, 522112
2.78707e-12, 0.088624, 519553
2.77348e-12, 0.0881917, 517018
2.76001e-12, 0.0877636, 514509
2.74668e-12, 0.0873396, 512023
2.73348e-12, 0.0869197, 509562
2.7204e-12, 0.0865038, 507124
2.70744e-12, 0.0860919, 504709
2.69461e-12, 0.0856838, 502317
2.6819e-12, 0.0852797, 499948
2.66931e-12, 0.0848793, 497601
2.65684e-12, 0.0844826, 495275
2.64448e-12, 0.0840897, 492972
2.63224e-12, 0.0837004, 490690
