#DeltaTime, Location Error, Velocity Error
/InverseX
9.22992e-12, 0.0978279, 0.00121307
9.17037e-12, 0.0971968, 0.00302505
9.11159e-12, 0.0965737, 0.00541687
9.05355e-12, 0.0959586, 0.00280762
8.99625e-12, 0.0953513, 0.00242615
8.93967e-12, 0.0947516, 0.00404739
8.8838e-12, 0.0941595, 0.00419235
8.82862e-12, 0.0935746, 0.00398636
8.77412e-12, 0.092997, 0.00150299
8.72029e-12, 0.0924265, 0.000339508
8.66712e-12, 0.0918629, 0.00273514
8.61459e-12, 0.0913062, 0.0036087
8.5627e-12, 0.0907562, 0.000331879
8.51142e-12, 0.0902127, 0.00399017
8.46076e-12, 0.0896758, 0.00435257
8.41069e-12, 0.0891452, 0.00410461
8.36122e-12, 0.0886208, 0.00403976
8.31232e-12, 0.0881026, 0.00345612
8.264e-12, 0.0875903, 0.00543976
8.21623e-12, 0.0870841, 0.0031395
8.16901e-12, 0.0865836, 0.00520325
8.12233e-12, 0.0860888, 0.00381088
8.07618e-12, 0.0855997, 0.00460434
8.03055e-12, 0.0851161, 0.00204468
7.98543e-12, 0.0846379, 0.000167847
7.94082e-12, 0.0841651, 0.00444031
7.89671e-12, 0.0836975, 0.00165939
7.85308e-12, 0.0832351, 0.00401306
7.80993e-12, 0.0827778, 0.00162125
7.76725e-12, 0.0823255, 0.00389481
7.72504e-12, 0.081878, 0.00187302
7.68328e-12, 0.0814355, 0.000923157
7.64198e-12, 0.0809977, 0.00529099
7.60111e-12, 0.0805645, 0.00527573
7.56068e-12, 0.080136, 0.00504303
7.52067e-12, 0.079712, 0.00495529
7.48109e-12, 0.0792925, 0.00202942
7.44192e-12, 0.0788773, 0.000881195
7.40316e-12, 0.0784665, 0.00531006
7.36481e-12, 0.07806, 0.00384521
7.32684e-12, 0.0776576, 0.00119781
7.28927e-12, 0.0772594, 0.00490952
7.25208e-12, 0.0768652, 0.00236511
7.21527e-12, 0.076475, 0.00504684
7.17883e-12, 0.0760888, 0.000740051
7.14275e-12, 0.0757065, 0.00474548
7.10704e-12, 0.0753279, 0.000873566
7.07168e-12, 0.0749532, 0.000328064
7.03667e-12, 0.0745821, 0.00118637
7.00201e-12, 0.0742147, 0.00614166
6.96768e-12, 0.0738509, 0.00746918
6.93369e-12, 0.0734907, 0.0030365
6.90004e-12, 0.073134, 0.00094223
6.8667e-12, 0.0727807, 0.00396729
6.83369e-12, 0.0724308, 0.00234604
6.80099e-12, 0.0720842, 0.00126266
6.76861e-12, 0.0717409, 0.00130844
6.73653e-12, 0.0714009, 0.00121307
6.70475e-12, 0.0710642, 0.00123215
6.67327e-12, 0.0707305, 0.00357056
6.64209e-12, 0.0704, 0.00423813
6.6112e-12, 0.0700726, 0.00514221
6.58059e-12, 0.0697482, 0.00569916
6.55026e-12, 0.0694268, 0.00355911
6.52022e-12, 0.0691083, 0.00598526
6.49044e-12, 0.0687927, 0.00233078
6.46094e-12, 0.0684801, 0.0030365
6.43171e-12, 0.0681702, 0.00154877
6.40274e-12, 0.0678631, 0.000499725
6.37402e-12, 0.0675588, 0.000621796
6.34557e-12, 0.0672572, 0.00111008
6.31737e-12, 0.0669583, 0.0030098
6.28941e-12, 0.066662, 0.00355911
6.26171e-12, 0.0663684, 0.00343323
6.23424e-12, 0.0660773, 1.52588e-05
6.20702e-12, 0.0657887, 0.002388
6.18003e-12, 0.0655027, 0.00204086
6.15328e-12, 0.0652192, 0.00311279
6.12676e-12, 0.064938, 0.00486374
6.10046e-12, 0.0646593, 0.00226593
6.07439e-12, 0.064383, 0.00178146
6.04854e-12, 0.0641091, 0.000457764
6.02291e-12, 0.0638374, 0.0030098
5.9975e-12, 0.0635681, 0.00082016
5.9723e-12, 0.063301, 0.0016861
5.94731e-12, 0.0630361, 0.0049324
5.92253e-12, 0.0627735, 0.00267029
5.89796e-12, 0.062513, 0.000732422
5.87358e-12, 0.0622547, 0.0091629
5.84941e-12, 0.0619985, 0.00298309
5.82544e-12, 0.0617444, 0.00149155
5.80166e-12, 0.0614924, 0.00361252
5.77808e-12, 0.0612424, 0.00109863
5.75469e-12, 0.0609945, 0.00626373
5.73148e-12, 0.0607486, 0.00170898
5.70846e-12, 0.0605046, 0.00282669
5.68563e-12, 0.0602626, 0.00104904
5.66298e-12, 0.0600225, 0.000377655
5.64051e-12, 0.0597843, 0.00787735
5.61821e-12, 0.059548, 0.00448227
5.59609e-12, 0.0593136, 8.39233e-05
5.57415e-12, 0.059081, 0.00297928
5.55237e-12, 0.0588502, 0.00183868
5.53077e-12, 0.0586212, 0.00210953
5.50933e-12, 0.058394, 0.0055275
5.48806e-12, 0.0581685, 0.000846863
5.46695e-12, 0.0579448, 0.00432587
5.44601e-12, 0.0577228, 0.00172043
5.42522e-12, 0.0575025, 0.000141144
5.40459e-12, 0.0572839, 0.00721741
5.38412e-12, 0.0570669, 0.00286102
5.3638e-12, 0.0568515, 0.00699234
5.34364e-12, 0.0566378, 0.00144577
5.32362e-12, 0.0564257, 0.00239563
5.30376e-12, 0.0562151, 0.000453949
5.28404e-12, 0.0560062, 0.00688171
5.26447e-12, 0.0557987, 0.000240326
5.24505e-12, 0.0555928, 0.00111008
5.22576e-12, 0.0553885, 0.00162125
5.20662e-12, 0.0551856, 0.00263596
5.18762e-12, 0.0549842, 0.00111771
5.16875e-12, 0.0547842, 0.00602341
5.15003e-12, 0.0545857, 0.00164795
5.13143e-12, 0.0543887, 0.00311661
5.11298e-12, 0.054193, 0.00142288
5.09465e-12, 0.0539988, 0.000926971
5.07646e-12, 0.053806, 0.00629044
5.05839e-12, 0.0536145, 0.00812912
5.04045e-12, 0.0534244, 0.00180054
5.02264e-12, 0.0532356, 0.00186539
5.00496e-12, 0.0530481, 0.00428772
4.98739e-12, 0.052862, 0.000839233
4.96996e-12, 0.0526772, 0.0057373
4.95264e-12, 0.0524936, 0.00386047
4.93544e-12, 0.0523114, 0.00634384
4.91836e-12, 0.0521304, 0.000484467
4.9014e-12, 0.0519506, 0.00094986
4.88456e-12, 0.0517721, 0.00129318
4.86783e-12, 0.0515948, 0.00663757
4.85122e-12, 0.0514187, 0.00695801
4.83472e-12, 0.0512438, 0.000720978
4.81833e-12, 0.0510701, 0.00124359
4.80205e-12, 0.0508976, 0.00880051
4.78588e-12, 0.0507262, 0.00635147
4.76982e-12, 0.050556, 0.00184631
4.75387e-12, 0.0503869, 0.000965118
4.73802e-12, 0.0502189, 0.00833893
4.72228e-12, 0.0500521, 0.00540161
4.70665e-12, 0.0498864, 0.00702286
4.69111e-12, 0.0497217, 0.00623322
4.67568e-12, 0.0495582, 0.00147629
4.66035e-12, 0.0493957, 0.00232697
4.64512e-12, 0.0492343, 0.00440216
4.62999e-12, 0.0490739, 0.00159454
4.61496e-12, 0.0489146, 0.00258255
4.60002e-12, 0.0487563, 0.00735474
4.58519e-12, 0.048599, 0.000175476
4.57044e-12, 0.0484427, 0.00925827
4.55579e-12, 0.0482875, 0.000484467
4.54124e-12, 0.0481332, 0.000114441
4.52678e-12, 0.0479799, 0.00405121
4.5124e-12, 0.0478276, 0.00726318
4.49812e-12, 0.0476762, 0.00350189
4.48394e-12, 0.0475258, 9.53674e-05
4.46983e-12, 0.0473764, 0.00687027
4.45582e-12, 0.0472279, 0.00281525
4.4419e-12, 0.0470803, 0.000812531
4.42806e-12, 0.0469336, 0.00393295
4.41431e-12, 0.0467879, 0.000522614
4.40064e-12, 0.046643, 0.00543594
4.38706e-12, 0.0464991, 0.00550842
4.37356e-12, 0.046356, 0.00328445
4.36015e-12, 0.0462138, 0.00818634
4.34681e-12, 0.0460725, 0.00180817
4.33356e-12, 0.045932, 0.001297
4.32039e-12, 0.0457924, 0.00455093
4.3073e-12, 0.0456536, 0.00111771
4.29428e-12, 0.0455157, 0.00798035
4.28135e-12, 0.0453786, 0.00791168
4.26849e-12, 0.0452423, 0.00510788
4.25571e-12, 0.0451069, 0.00707626
4.24301e-12, 0.0449722, 0.00733566
4.23038e-12, 0.0448384, 0.00551224
4.21783e-12, 0.0447053, 0.00537872
4.20535e-12, 0.0445731, 0.00104904
4.19294e-12, 0.0444416, 0.00178909
4.18061e-12, 0.0443109, 0.00102997
4.16835e-12, 0.044181, 0.000972748
4.15616e-12, 0.0440518, 0.00624466
4.14404e-12, 0.0439233, 0.00181198
4.132e-12, 0.0437957, 0.000671387
4.12002e-12, 0.0436687, 0.00650787
4.10811e-12, 0.0435425, 0.00181198
4.09627e-12, 0.043417, 0.000465393
4.0845e-12, 0.0432923, 0.000148773
4.0728e-12, 0.0431682, 0.00101852
4.06116e-12, 0.0430449, 0.00114059
4.04959e-12, 0.0429222, 0.00719452
4.03809e-12, 0.0428003, 0.00038147
4.02665e-12, 0.0426791, 0.00841904
4.01528e-12, 0.0425585, 0.0034256
4.00396e-12, 0.0424386, 0.00600433
3.99272e-12, 0.0423194, 0.000682831
3.98153e-12, 0.0422009, 0.00105667
3.97041e-12, 0.042083, 0.00111008
3.95935e-12, 0.0419658, 0.00102997
3.94835e-12, 0.0418492, 0.0017395
3.93742e-12, 0.0417333, 0.000450134
3.92654e-12, 0.041618, 0.00576782
3.91572e-12, 0.0415033, 0.00239182
3.90497e-12, 0.0413893, 0.0108604
3.89427e-12, 0.0412759, 0.000431061
3.88363e-12, 0.0411632, 0.0071373
3.87304e-12, 0.041051, 0.0057106
3.86252e-12, 0.0409394, 0.00345612
3.85205e-12, 0.0408285, 0.00846481
3.84164e-12, 0.0407182, 0.00911331
3.83129e-12, 0.0406084, 0.00398254
3.82099e-12, 0.0404992, 0.00258636
3.81074e-12, 0.0403907, 0.0098877
3.80055e-12, 0.0402827, 4.19617e-05
3.79042e-12, 0.0401753, 0.00178146
3.78034e-12, 0.0400684, 0.00798035
3.77031e-12, 0.0399621, 0.00462341
3.76034e-12, 0.0398564, 0.00104904
3.75042e-12, 0.0397512, 0.00850677
3.74055e-12, 0.0396466, 0.000976562
3.73073e-12, 0.0395426, 0.00779343
3.72096e-12, 0.0394391, 0.0109596
3.71125e-12, 0.0393361, 0.00196838
3.70158e-12, 0.0392337, 0.00105286
3.69197e-12, 0.0391317, 0.00883865
3.6824e-12, 0.0390304, 0.00588608
3.67289e-12, 0.0389295, 0.00540924
3.66342e-12, 0.0388292, 0.0124397
3.654e-12, 0.0387294, 0.00588608
3.64463e-12, 0.0386301, 0.00823593
3.63531e-12, 0.0385313, 0.00419617
3.62604e-12, 0.038433, 0.00600815
3.61681e-12, 0.0383352, 0.000774384
3.60763e-12, 0.0382379, 0.00923538
3.5985e-12, 0.0381411, 0.0030098
3.58941e-12, 0.0380448, 0.01157
3.58037e-12, 0.0379489, 0.00382996
3.57138e-12, 0.0378536, 0.00877762
3.56242e-12, 0.0377587, 5.72205e-05
3.55352e-12, 0.0376643, 0.0092392
3.54466e-12, 0.0375704, 0.00509262
3.53584e-12, 0.0374769, 0.00165939
3.52707e-12, 0.0373839, 0.00567245
3.51834e-12, 0.0372914, 0.00105286
3.50965e-12, 0.0371993, 0.000614166
3.501e-12, 0.0371077, 0.00893021
3.4924e-12, 0.0370165, 0.00271225
3.48384e-12, 0.0369258, 0.0015564
3.47532e-12, 0.0368355, 0.000404358
3.46685e-12, 0.0367457, 0.00353241
3.45841e-12, 0.0366563, 0.00292969
3.45002e-12, 0.0365673, 0.000656128
3.44166e-12, 0.0364788, 0.00124741
3.43335e-12, 0.0363907, 0.00136185
3.42508e-12, 0.036303, 0.00873947
3.41684e-12, 0.0362157, 0.0043602
3.40865e-12, 0.0361289, 0.00217438
3.4005e-12, 0.0360424, 0.000968933
3.39238e-12, 0.0359564, 0.0109177
3.3843e-12, 0.0358708, 0.00037384
3.37626e-12, 0.0357856, 0.000854492
3.36826e-12, 0.0357008, 0.00018692
3.3603e-12, 0.0356164, 0.00531769
3.35238e-12, 0.0355324, 0.00124741
3.34449e-12, 0.0354488, 0.0033493
3.33664e-12, 0.0353656, 0.00549316
3.32882e-12, 0.0352828, 0.0111198
3.32105e-12, 0.0352003, 0.00897598
3.3133e-12, 0.0351183, 0.011795
3.3056e-12, 0.0350366, 0.00901031
3.29793e-12, 0.0349553, 0.010643
3.29029e-12, 0.0348744, 0.00940704
3.2827e-12, 0.0347939, 0.00815964
3.27513e-12, 0.0347137, 0.0057373
